"","GeneSymbol","A_plus_1","A_plus_2","A_plus_3","A_minus_1","A_minus_2","A_minus_3","B_plus_1","B_plus_2","B_plus_3","B_minus_1","B_minus_2","B_minus_3","A_plus_1_48","A_plus_2_48","A_plus_3_48","A_minus_1_48","A_minus_2_48","A_minus_3_48"
"723","SUCLG2",6.23907558889547,6.17583584587167,33.644068863501,2.13738880432583,3.95405195323828,1.81320635757728,6.90422335516348,4.79805419277543,1.81320635757728,7.50996885965031,5.40247428289776,1.81320635757728,5.86413229410906,4.30738354054917,1.81320635757728,0.949627186928404,4.8362911833108,1.81320635757728
"724","SRRM2",7.93989396665131,7.92376442817791,4.65272028020024,7.38208024943221,6.56891328877368,4.65272028020024,7.20657082015336,7.12418085668929,4.65272028020024,3.44772710548971,4.91504370196518,4.65272028020024,4.06458063593541,4.10145544170083,9.31247544094686,3.80213064500399,3.15099238805514,4.65272028020024
"725","ALYREF",4.51594724674213,4.00972643929975,2.34955791260361,8.97327721090387,4.51315104516503,2.34955791260361,3.84942000461681,5.8100364097693,14.7720239926357,5.14413707061018,4.4726282858011,2.34955791260361,2.90980962495974,5.73470805554086,7.66654674283615,6.53253130436391,7.3727385106042,7.21911097709298
"726","ARPP19",7.50521559639184,5.50957066706387,4.44566394959507,0.392995557552124,1.93305191873245,4.44566394959507,7.75814013911036,8.19178994024528,4.44566394959507,4.15763962792776,5.98306328051202,4.44566394959507,5.63209184584862,3.42021016363084,9.67186274491695,8.59070369648133,8.06454150155488,5.69506991568851
"727","RPS15A",6.50869,7.04346,0,10.4288,8.01247,0,7.09615,6.702,0,8.52006,9.81149,0,7.49127,8.67527,0,9.21117,10.4992,0
"728","COMT",3.27165245658198,9.18172320645854,4.48239255567632,3.15413536999568,2.96828610673468,10.718406688675,7.54831324923499,4.89344508105733,4.48239255567632,6.64517881406558,4.24353155624707,4.48239255567632,4.51464895763234,5.70259941047055,4.48239255567632,8.13675094145683,6.63965000659275,4.48239255567632
"729","CORO1C",5.17234676087645,7.36615961642848,4.30824418659945,5.01107222760321,5.91276053717807,4.30824418659945,8.60872484101859,6.48921105349135,4.30824418659945,6.54197155141725,5.88989924045413,4.30824418659945,4.0449495677786,2.51839694333979,7.61932873138898,4.36976366490719,5.36759271864128,7.92770361838226
"730","GSTK1",10.7579,7.77996,0,8.97373,6.40263,0,9.12011,9.28936,0,9.86498,7.98373,0,9.93253,9.44738,0,5.64435,4.80336,0
"731","IK",0.763746916859866,1.97820701341286,3.73683388973827,10.3399737676076,10.7487391498608,3.73683388973827,4.39584926630454,0.689611978710138,3.73683388973827,5.33491111584899,6.30192978931787,3.73683388973827,2.56584023495802,6.73820879914323,17.1279394655509,8.79321039706733,5.67990391493717,3.73683388973827
"732","RO60",8.64782,7.73145,0,9.70435,9.11302,0,7.16858,8.8047,0,8.0364,7.31023,0,9.10964,7.70164,0,7.25549,9.41667,0
"733","RBM8A",2.62225513364652,7.38586313211393,4.14113210876905,7.28748574223071,9.48914388691459,4.14113210876905,2.52166962131556,1.61198147156036,4.14113210876905,10.1218342864628,8.92959558788629,13.7414405594931,4.786681066785,5.56311156245109,4.14113210876905,5.5580291527343,-0.534212067420896,4.14113210876905
"734","IDH2",10.6816,6.82327,0,9.95041,10.9154,0,8.15765,8.57582,0,11.3159,7.41522,0,10.7337,8.32938,0,7.09026,0.0113552,0
